number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_gammar,params_hidden_dim,params_learning_rate,params_num_layers,state
27,0.6736186742782593,2024-03-29 20:32:11.426900,2024-03-29 20:32:21.892093,0 days 00:00:10.465193,16,False,0.3262115746244245,0.012623142771232207,128,0.012549205364703761,3,COMPLETE
28,0.578942060470581,2024-03-29 20:32:21.893093,2024-03-29 20:32:37.119002,0 days 00:00:15.225909,4,False,0.21701853048296343,0.03955307783792446,128,0.0007623857067160188,2,COMPLETE
29,0.6605939269065857,2024-03-29 20:32:37.119002,2024-03-29 20:32:50.637818,0 days 00:00:13.518816,8,True,0.25875926182781517,0.0028029805373574403,256,0.00015290990728003212,1,COMPLETE
30,0.4733576476573944,2024-03-29 20:32:50.638818,2024-03-29 20:33:14.937969,0 days 00:00:24.299151,2,False,0.25468178437177447,0.015264797597620956,128,0.0001375365788304898,2,COMPLETE
31,0.42828065156936646,2024-03-29 20:33:14.938969,2024-03-29 20:33:28.962927,0 days 00:00:14.023958,2,False,0.19624714080683497,0.024625688491985383,128,0.0015938654808401636,1,COMPLETE
32,0.45562589168548584,2024-03-29 20:33:28.963928,2024-03-29 20:33:43.155501,0 days 00:00:14.191573,2,False,0.16276991671233124,0.02112333429151508,128,0.0011367186337369677,1,COMPLETE
33,0.4068277180194855,2024-03-29 20:33:43.156502,2024-03-29 20:33:55.756619,0 days 00:00:12.600117,2,False,0.32972479714187475,0.08977797870469176,128,0.004107800663942983,1,COMPLETE
34,0.43096622824668884,2024-03-29 20:33:55.757121,2024-03-29 20:34:28.373206,0 days 00:00:32.616085,2,True,0.44670041940968663,0.0745341250519667,128,0.004563110113536633,1,COMPLETE
35,0.6656002998352051,2024-03-29 20:34:28.373206,2024-03-29 20:34:33.012742,0 days 00:00:04.639536,16,False,0.3493201140754536,0.09814204328670417,256,0.010070016360195614,1,COMPLETE
36,0.4771443009376526,2024-03-29 20:34:33.013742,2024-03-29 20:35:05.101713,0 days 00:00:32.087971,2,True,0.09538288923880274,0.04220709581332044,128,0.003039278038977826,1,COMPLETE
37,0.44927895069122314,2024-03-29 20:35:05.102714,2024-03-29 20:35:14.324418,0 days 00:00:09.221704,2,False,0.03384852978647063,0.0552082261391238,128,0.008316249706422878,1,COMPLETE
38,0.661655604839325,2024-03-29 20:35:14.325418,2024-03-29 20:37:09.716170,0 days 00:01:55.390752,4,True,0.41151012195455683,0.007701787910783853,256,0.002382614795838886,4,COMPLETE
39,0.7308917045593262,2024-03-29 20:37:09.717171,2024-03-29 20:37:14.714931,0 days 00:00:04.997760,8,False,0.49676636636354987,0.005993003486476315,128,0.0014716815616789075,1,COMPLETE
40,0.37351393699645996,2024-03-29 20:37:14.714931,2024-03-29 20:37:31.219968,0 days 00:00:16.505037,2,False,0.3304288413840223,0.05336652334967718,128,0.01546677559621527,1,COMPLETE
41,0.43733924627304077,2024-03-29 20:37:31.220969,2024-03-29 20:37:42.428813,0 days 00:00:11.207844,2,False,0.3304188645783202,0.053345677911965865,128,0.0069827046005777015,1,COMPLETE
42,0.4173393249511719,2024-03-29 20:37:42.429813,2024-03-29 20:37:58.812327,0 days 00:00:16.382514,2,False,0.329771695530847,0.07869158168572307,128,0.01850645510289175,1,COMPLETE
43,0.4427516758441925,2024-03-29 20:37:58.812327,2024-03-29 20:38:12.472594,0 days 00:00:13.660267,2,False,0.3798671711630946,0.07871977031831061,128,0.029033925512323613,1,COMPLETE
44,0.3923124074935913,2024-03-29 20:38:12.473595,2024-03-29 20:38:23.017940,0 days 00:00:10.544345,2,False,0.3280504469721925,0.09906902666003384,128,0.018475668815237392,1,COMPLETE
45,0.4166146218776703,2024-03-29 20:38:23.018940,2024-03-29 20:38:41.156362,0 days 00:00:18.137422,2,False,0.343755914228161,0.09241408695911585,128,0.015009010151974325,1,COMPLETE
46,0.7754225134849548,2024-03-29 20:38:41.157599,2024-03-29 20:39:08.401486,0 days 00:00:27.243887,8,True,0.4000134361226093,0.06895956969426538,256,0.05399374592691246,1,COMPLETE
47,0.6709492802619934,2024-03-29 20:39:08.402487,2024-03-29 20:39:21.058031,0 days 00:00:12.655544,16,False,0.3592211852457552,0.09285942005938759,128,0.05683745076122833,3,COMPLETE
48,0.4108956456184387,2024-03-29 20:39:21.059070,2024-03-29 20:39:50.712480,0 days 00:00:29.653410,2,False,0.31396863410806564,0.052032590231357013,128,0.016405672162185123,2,COMPLETE
49,0.37650245428085327,2024-03-29 20:39:50.713483,2024-03-29 20:40:20.381660,0 days 00:00:29.668177,2,False,0.3054863744142081,0.05544287681624335,128,0.03514127097059753,2,COMPLETE
50,0.43412962555885315,2024-03-29 20:40:20.382660,2024-03-29 20:40:42.087126,0 days 00:00:21.704466,2,False,0.2687522904903462,0.046686328656928025,128,0.0295610959978722,2,COMPLETE
51,0.459980309009552,2024-03-29 20:40:42.088126,2024-03-29 20:41:09.924216,0 days 00:00:27.836090,2,False,0.3190568932270027,0.060841965410733986,128,0.07854307716644311,2,COMPLETE
52,0.41923606395721436,2024-03-29 20:41:09.926217,2024-03-29 20:41:52.749035,0 days 00:00:42.822818,2,False,0.3104527235649238,0.05051577049136973,128,0.022238952992664873,3,COMPLETE
53,0.4344024360179901,2024-03-29 20:41:52.750036,2024-03-29 20:42:22.946884,0 days 00:00:30.196848,2,False,0.2706090833224396,0.06509943879228529,128,0.042387683565840245,2,COMPLETE
54,0.41339391469955444,2024-03-29 20:42:22.947386,2024-03-29 20:42:37.133272,0 days 00:00:14.185886,2,False,0.3669560576418114,0.0353024940464286,64,0.011864283809256181,2,COMPLETE
55,0.6362169981002808,2024-03-29 20:42:37.134849,2024-03-29 20:43:04.509119,0 days 00:00:27.374270,4,False,0.30572167450931387,0.06392076359456553,128,0.00484909236104732,3,COMPLETE
56,0.45755311846733093,2024-03-29 20:43:04.510119,2024-03-29 20:43:34.683580,0 days 00:00:30.173461,2,False,0.2369506109746854,0.04911417373880175,128,0.042943415338607495,2,COMPLETE
57,0.4948643445968628,2024-03-29 20:43:34.684580,2024-03-29 20:44:31.830275,0 days 00:00:57.145695,2,False,0.34137337430128273,0.08467670460573198,128,0.008143876442617664,4,COMPLETE
58,0.501964271068573,2024-03-29 20:44:31.830777,2024-03-29 20:45:02.183457,0 days 00:00:30.352680,2,False,0.3892187838285064,0.03752245950718325,64,0.023599956418237675,3,COMPLETE
59,0.6707284450531006,2024-03-29 20:45:02.184460,2024-03-29 20:45:10.230417,0 days 00:00:08.045957,8,False,0.27444869794333915,0.02954710100041144,128,0.016375366251264983,2,COMPLETE
60,0.461868017911911,2024-03-29 20:45:10.232417,2024-03-29 20:47:30.977418,0 days 00:02:20.745001,2,True,0.36072763096002675,0.05643794700818722,256,0.09891934955208212,2,COMPLETE
61,0.4086483418941498,2024-03-29 20:47:30.978473,2024-03-29 20:47:50.877655,0 days 00:00:19.899182,2,False,0.3695664188633547,0.04462009946656863,64,0.012368407326931686,2,COMPLETE
62,0.42837458848953247,2024-03-29 20:47:50.879210,2024-03-29 20:48:04.930006,0 days 00:00:14.050796,2,False,0.3144045410945652,0.04451229121765837,64,0.0033854927607180193,2,COMPLETE
63,0.4412773549556732,2024-03-29 20:48:04.931041,2024-03-29 20:48:22.991539,0 days 00:00:18.060498,2,False,0.4219136759755943,0.07268497774163633,64,0.034931205312877404,2,COMPLETE
64,0.4069973826408386,2024-03-29 20:48:22.992541,2024-03-29 20:48:53.496254,0 days 00:00:30.503713,2,False,0.2922429077304387,0.08644303816459255,64,0.005938135058487604,3,COMPLETE
65,0.4101073145866394,2024-03-29 20:48:53.497254,2024-03-29 20:49:15.921072,0 days 00:00:22.423818,2,False,0.28536176489506077,0.08402584531573293,64,0.006583081314309261,3,COMPLETE
66,0.48836541175842285,2024-03-29 20:49:15.922074,2024-03-29 20:49:49.152593,0 days 00:00:33.230519,2,False,0.3834677528485958,0.0985595935312957,64,0.010714123003025527,3,COMPLETE
67,0.6866266131401062,2024-03-29 20:49:49.153594,2024-03-29 20:49:56.954140,0 days 00:00:07.800546,16,False,0.24966232039603867,0.02788808353350169,64,0.004246812424118714,3,COMPLETE
